miRNA,freq,picked_by
hsa-mir-548s,1,GMM
hsa-mir-548v,1,GMM
hsa-mir-550a-1,1,GMM
hsa-mir-550a-2,1,GMM
hsa-mir-550a-3,1,GMM
hsa-mir-551a,1,GMM
hsa-mir-556,1,GMM
hsa-mir-5571,1,GMM
hsa-mir-5581,1,GMM
hsa-mir-5582,1,GMM
hsa-mir-5586,1,GMM
hsa-mir-559,1,GMM
hsa-mir-5684,1,GMM
hsa-mir-5690,1,GMM
hsa-mir-5695,1,GMM
hsa-mir-5696,1,GMM
hsa-mir-5698,1,GMM
hsa-mir-5699,1,GMM
hsa-mir-570,1,GMM
hsa-mir-573,1,GMM
hsa-mir-574,1,GMM
hsa-mir-576,1,GMM
hsa-mir-577,1,GMM
hsa-mir-579,1,GMM
hsa-mir-580,1,GMM
hsa-mir-581,1,GMM
hsa-mir-582,1,GMM
hsa-mir-584,1,GMM
hsa-mir-588,1,GMM
hsa-mir-589,1,GMM
hsa-mir-590,1,GMM
hsa-mir-592,1,GMM
hsa-mir-597,1,GMM
hsa-mir-598,1,GMM
hsa-mir-611,1,GMM
hsa-mir-615,1,GMM
hsa-mir-616,1,GMM
hsa-mir-624,1,GMM
hsa-mir-627,1,GMM
hsa-mir-628,1,GMM
hsa-mir-629,1,GMM
hsa-mir-632,1,GMM
hsa-mir-636,1,GMM
hsa-mir-639,1,GMM
hsa-mir-641,1,GMM
hsa-mir-643,1,GMM
hsa-mir-6499,1,GMM
hsa-mir-6501,1,GMM
hsa-mir-651,1,GMM
hsa-mir-6511b-1,1,GMM
hsa-mir-6511b-2,1,GMM
hsa-mir-6514,1,GMM
hsa-mir-6515,1,GMM
hsa-mir-6516,1,GMM
hsa-mir-652,1,GMM
hsa-mir-658,1,GMM
hsa-mir-659,1,GMM
hsa-mir-660,1,GMM
hsa-mir-671,1,GMM
hsa-mir-6720,1,GMM
hsa-mir-6726,1,GMM
hsa-mir-6728,1,GMM
hsa-mir-6731,1,GMM
hsa-mir-6734,1,GMM
hsa-mir-6736,1,GMM
hsa-mir-6737,1,GMM
hsa-mir-6738,1,GMM
hsa-mir-6739,1,GMM
hsa-mir-6741,1,GMM
hsa-mir-6742,1,GMM
hsa-mir-6743,1,GMM
hsa-mir-6744,1,GMM
hsa-mir-6747,1,GMM
hsa-mir-6748,1,GMM
hsa-mir-6750,1,GMM
hsa-mir-6754,1,GMM
hsa-mir-6755,1,GMM
hsa-mir-6761,1,GMM
hsa-mir-6764,1,GMM
hsa-mir-6769a,1,GMM
hsa-mir-6769b,1,GMM
hsa-mir-6771,1,GMM
hsa-mir-6772,1,GMM
hsa-mir-6773,1,GMM
hsa-mir-6775,1,GMM
hsa-mir-6776,1,GMM
hsa-mir-6777,1,GMM
hsa-mir-6780b,1,GMM
hsa-mir-6781,1,GMM
hsa-mir-6782,1,GMM
hsa-mir-6783,1,GMM
hsa-mir-6786,1,GMM
hsa-mir-6789,1,GMM
hsa-mir-6793,1,GMM
hsa-mir-6794,1,GMM
hsa-mir-6795,1,GMM
hsa-mir-6797,1,GMM
hsa-mir-6798,1,GMM
hsa-mir-6799,1,GMM
hsa-mir-6800,1,GMM
hsa-mir-6801,1,GMM
hsa-mir-6802,1,GMM
hsa-mir-6803,1,GMM
hsa-mir-6804,1,GMM
hsa-mir-6807,1,GMM
hsa-mir-6808,1,GMM
hsa-mir-6814,1,GMM
hsa-mir-6815,1,GMM
hsa-mir-6818,1,GMM
hsa-mir-6820,1,GMM
hsa-mir-6824,1,GMM
hsa-mir-6825,1,GMM
hsa-mir-6832,1,GMM
hsa-mir-6834,1,GMM
hsa-mir-6840,1,GMM
hsa-mir-6842,1,GMM
hsa-mir-6844,1,GMM
