miRNA,freq,picked_by
hsa-mir-363,1,GMM
hsa-mir-3651,1,GMM
hsa-mir-3652,1,GMM
hsa-mir-3653,1,GMM
hsa-mir-3654,1,GMM
hsa-mir-3660,1,GMM
hsa-mir-3662,1,GMM
hsa-mir-3663,1,GMM
hsa-mir-3664,1,GMM
hsa-mir-3667,1,GMM
hsa-mir-3677,1,GMM
hsa-mir-3679,1,GMM
hsa-mir-3680-1,1,GMM
hsa-mir-3680-2,1,GMM
hsa-mir-3682,1,GMM
hsa-mir-3683,1,GMM
hsa-mir-3684,1,GMM
hsa-mir-3688-1,1,GMM
hsa-mir-3689a,1,GMM
hsa-mir-3689e,1,GMM
hsa-mir-3689f,1,GMM
hsa-mir-3690-1,1,GMM
hsa-mir-3691,1,GMM
hsa-mir-374a,1,GMM
hsa-mir-374b,1,GMM
hsa-mir-3907,1,GMM
hsa-mir-3909,1,GMM
hsa-mir-3911,1,GMM
hsa-mir-3915,1,GMM
hsa-mir-3917,1,GMM
hsa-mir-3920,1,GMM
hsa-mir-3922,1,GMM
hsa-mir-3923,1,GMM
hsa-mir-3926-1,1,SC
hsa-mir-3927,1,GMM
hsa-mir-3928,1,GMM
hsa-mir-3929,1,GMM
hsa-mir-3934,1,GMM
hsa-mir-3936,1,GMM
hsa-mir-3937,1,GMM
hsa-mir-3938,1,GMM
hsa-mir-3939,1,GMM
hsa-mir-3940,1,GMM
hsa-mir-3941,1,GMM
hsa-mir-3942,1,GMM
hsa-mir-3944,1,GMM
hsa-mir-421,1,GMM
hsa-mir-423,1,GMM
hsa-mir-425,1,GMM
hsa-mir-4286,1,GMM
hsa-mir-429,1,GMM
hsa-mir-4315-2,1,GMM
hsa-mir-4326,1,GMM
hsa-mir-4420,1,GMM
hsa-mir-4423,1,GMM
hsa-mir-4424,1,GMM
hsa-mir-4425,1,GMM
hsa-mir-4428,1,GMM
hsa-mir-4431,1,GMM
hsa-mir-4432,1,GMM
hsa-mir-4435-1,1,GMM
hsa-mir-4443,1,GMM
hsa-mir-4444-1,1,GMM
hsa-mir-4444-2,1,GMM
hsa-mir-4446,1,GMM
hsa-mir-4449,1,GMM
hsa-mir-4450,1,GMM
hsa-mir-4451,1,GMM
hsa-mir-4453,1,GMM
hsa-mir-4454,1,GMM
hsa-mir-4458,1,SC
hsa-mir-4460,1,GMM
hsa-mir-4461,1,GMM
hsa-mir-4469,1,GMM
hsa-mir-4471,1,GMM
hsa-mir-4473,1,GMM
hsa-mir-4479,1,GMM
hsa-mir-4480,1,GMM
hsa-mir-4488,1,GMM
hsa-mir-4491,1,GMM
hsa-mir-4494,1,GMM
hsa-mir-4496,1,GMM
hsa-mir-4501,1,GMM
hsa-mir-4511,1,GMM
hsa-mir-452,1,GMM
hsa-mir-4521,1,GMM
hsa-mir-4522,1,GMM
hsa-mir-4523,1,GMM
hsa-mir-4525,1,GMM
hsa-mir-4527,1,GMM
hsa-mir-4536-2,1,GMM
hsa-mir-4537,1,SC
hsa-mir-454,1,GMM
hsa-mir-455,1,GMM
hsa-mir-4633,1,GMM
hsa-mir-4638,1,GMM
hsa-mir-4640,1,GMM
hsa-mir-4641,1,GMM
hsa-mir-4644,1,GMM
hsa-mir-4645,1,GMM
hsa-mir-4652,1,GMM
hsa-mir-4654,1,GMM
hsa-mir-4657,1,GMM
hsa-mir-4658,1,GMM
hsa-mir-4659a,1,GMM
hsa-mir-4660,1,GMM
hsa-mir-4661,1,GMM
hsa-mir-4662a,1,GMM
hsa-mir-4663,1,GMM
hsa-mir-4664,1,GMM
hsa-mir-4665,1,GMM
hsa-mir-4668,1,GMM
hsa-mir-4669,1,GMM
hsa-mir-4671,1,GMM
hsa-mir-4673,1,GMM
hsa-mir-4674,1,GMM
hsa-mir-4677,1,GMM
hsa-mir-4679-1,1,SC
hsa-mir-4679-2,1,SC
hsa-mir-4682,1,GMM
hsa-mir-4684,1,GMM
hsa-mir-4685,1,GMM
hsa-mir-4686,1,GMM
hsa-mir-4687,1,GMM
hsa-mir-4688,1,GMM
hsa-mir-4689,1,GMM
hsa-mir-4706,1,GMM
hsa-mir-4707,1,GMM
hsa-mir-4708,1,GMM
hsa-mir-4720,1,GMM
hsa-mir-4721,1,GMM
hsa-mir-4723,1,GMM
hsa-mir-4724,1,GMM
hsa-mir-4725,1,GMM
hsa-mir-4726,1,GMM
hsa-mir-4728,1,GMM
hsa-mir-4730,1,GMM
hsa-mir-4736,1,GMM
hsa-mir-4738,1,GMM
hsa-mir-4741,1,GMM
hsa-mir-4742,1,GMM
hsa-mir-4743,1,GMM
hsa-mir-4745,1,GMM
hsa-mir-4746,1,GMM
hsa-mir-4749,1,GMM
hsa-mir-4753,1,GMM
hsa-mir-4754,1,GMM
hsa-mir-4755,1,GMM
hsa-mir-4758,1,GMM
hsa-mir-4759,1,SC
hsa-mir-4763,1,GMM
hsa-mir-4764,1,GMM
hsa-mir-4766,1,GMM
hsa-mir-4767,1,GMM
hsa-mir-4771-1,1,GMM
hsa-mir-4771-2,1,GMM
hsa-mir-4772,1,GMM
hsa-mir-4773-1,1,GMM
hsa-mir-4774,1,GMM
hsa-mir-4775,1,GMM
hsa-mir-4780,1,GMM
hsa-mir-4782,1,GMM
hsa-mir-4784,1,GMM
hsa-mir-4785,1,GMM
hsa-mir-4786,1,GMM
hsa-mir-4787,1,GMM
hsa-mir-4788,1,GMM
hsa-mir-4789,1,GMM
hsa-mir-4791,1,GMM
hsa-mir-4793,1,GMM
hsa-mir-4794,1,GMM
hsa-mir-4802,1,GMM
hsa-mir-483,1,GMM
hsa-mir-484,1,GMM
hsa-mir-488,1,KM
hsa-mir-497,1,KM
hsa-mir-4999,1,GMM
hsa-mir-499b,1,GMM
hsa-mir-5000,1,GMM
hsa-mir-5001,1,GMM
hsa-mir-5002,1,GMM
hsa-mir-5003,1,GMM
hsa-mir-5008,1,GMM
hsa-mir-500a,1,GMM
hsa-mir-500b,1,GMM
hsa-mir-501,1,GMM
hsa-mir-5011,1,GMM
hsa-mir-502,1,GMM
hsa-mir-504,1,GMM
hsa-mir-505,1,GMM
hsa-mir-5087,1,GMM
hsa-mir-5088,1,GMM
