miRNA,freq,picked_by
hsa-mir-4802,2,"GMM,KM"
hsa-mir-484,2,"GMM,KM"
hsa-mir-485,2,"HC,SC"
hsa-mir-487a,2,"HC,SC"
hsa-mir-487b,2,"HC,SC"
hsa-mir-488,2,"HC,SC"
hsa-mir-491,2,"GMM,KM"
hsa-mir-493,2,"HC,SC"
hsa-mir-494,2,"HC,SC"
hsa-mir-495,2,"HC,SC"
hsa-mir-496,2,"HC,SC"
hsa-mir-4999,2,"GMM,KM"
hsa-mir-5000,2,"GMM,KM"
hsa-mir-5001,2,"GMM,KM"
hsa-mir-5002,2,"GMM,KM"
hsa-mir-5003,2,"GMM,KM"
hsa-mir-5008,2,"GMM,KM"
hsa-mir-500a,2,"GMM,KM"
hsa-mir-500b,2,"GMM,KM"
hsa-mir-501,2,"GMM,KM"
hsa-mir-502,2,"GMM,KM"
hsa-mir-504,2,"GMM,KM"
hsa-mir-505,2,"GMM,KM"
hsa-mir-506,2,"HC,SC"
hsa-mir-507,2,"HC,SC"
hsa-mir-508,2,"HC,SC"
hsa-mir-509-1,2,"HC,SC"
hsa-mir-509-2,2,"HC,SC"
hsa-mir-509-3,2,"HC,SC"
hsa-mir-5092,2,"GMM,KM"
hsa-mir-5094,2,"GMM,KM"
hsa-mir-510,2,"HC,SC"
hsa-mir-513a-1,2,"HC,SC"
hsa-mir-513a-2,2,"HC,SC"
hsa-mir-513b,2,"HC,SC"
hsa-mir-513c,2,"HC,SC"
hsa-mir-514a-1,2,"HC,SC"
hsa-mir-514a-2,2,"HC,SC"
hsa-mir-514a-3,2,"HC,SC"
hsa-mir-514b,2,"HC,SC"
hsa-mir-5187,2,"GMM,KM"
hsa-mir-5190,2,"GMM,KM"
hsa-mir-5193,2,"GMM,KM"
hsa-mir-532,2,"GMM,KM"
hsa-mir-539,2,"HC,SC"
hsa-mir-541,2,"HC,SC"
hsa-mir-543,2,"HC,SC"
hsa-mir-544a,2,"HC,SC"
hsa-mir-545,2,"GMM,KM"
hsa-mir-548ai,2,"GMM,KM"
hsa-mir-548al,2,"GMM,KM"
hsa-mir-548ao,2,"GMM,KM"
hsa-mir-548au,2,"GMM,KM"
hsa-mir-548b,2,"GMM,KM"
hsa-mir-548d-1,2,"GMM,KM"
hsa-mir-548d-2,2,"GMM,KM"
hsa-mir-548e,2,"GMM,KM"
hsa-mir-548f-1,2,"GMM,KM"
hsa-mir-548j,2,"GMM,KM"
hsa-mir-548k,2,"GMM,KM"
hsa-mir-548o,2,"GMM,KM"
hsa-mir-548o-2,2,"GMM,KM"
hsa-mir-548s,2,"GMM,KM"
hsa-mir-550a-1,2,"GMM,KM"
hsa-mir-550a-2,2,"GMM,KM"
hsa-mir-550a-3,2,"GMM,KM"
hsa-mir-551a,2,"GMM,KM"
hsa-mir-556,2,"GMM,KM"
hsa-mir-5571,2,"GMM,KM"
hsa-mir-5581,2,"GMM,KM"
hsa-mir-5582,2,"GMM,KM"
hsa-mir-5589,2,"GMM,KM"
hsa-mir-559,2,"GMM,KM"
hsa-mir-5687,2,"GMM,KM"
hsa-mir-5690,2,"GMM,KM"
hsa-mir-5695,2,"GMM,KM"
hsa-mir-5696,2,"GMM,KM"
hsa-mir-5699,2,"GMM,KM"
hsa-mir-570,2,"GMM,KM"
hsa-mir-572,2,"GMM,KM"
hsa-mir-573,2,"GMM,KM"
hsa-mir-574,2,"GMM,KM"
hsa-mir-576,2,"GMM,KM"
hsa-mir-577,2,"GMM,KM"
hsa-mir-579,2,"GMM,KM"
hsa-mir-580,2,"GMM,KM"
hsa-mir-581,2,"GMM,KM"
hsa-mir-582,2,"GMM,KM"
hsa-mir-588,2,"GMM,KM"
hsa-mir-589,2,"GMM,KM"
hsa-mir-590,2,"GMM,KM"
hsa-mir-592,2,"GMM,KM"
hsa-mir-597,2,"GMM,KM"
hsa-mir-603,2,"GMM,KM"
hsa-mir-6132,2,"HC,SC"
hsa-mir-615,2,"GMM,KM"
hsa-mir-616,2,"GMM,KM"
hsa-mir-624,2,"GMM,KM"
hsa-mir-627,2,"GMM,KM"
hsa-mir-628,2,"GMM,KM"
hsa-mir-629,2,"GMM,KM"
hsa-mir-631,2,"GMM,KM"
hsa-mir-632,2,"GMM,KM"
hsa-mir-636,2,"GMM,KM"
hsa-mir-639,2,"GMM,KM"
hsa-mir-641,2,"GMM,KM"
hsa-mir-642a,2,"GMM,KM"
hsa-mir-643,2,"GMM,KM"
hsa-mir-6499,2,"GMM,KM"
hsa-mir-6501,2,"GMM,KM"
hsa-mir-6505,2,"GMM,KM"
hsa-mir-651,2,"GMM,KM"
hsa-mir-6511b-1,2,"GMM,KM"
hsa-mir-6511b-2,2,"GMM,KM"
hsa-mir-6514,2,"GMM,KM"
hsa-mir-6515,2,"GMM,KM"
hsa-mir-6516,2,"GMM,KM"
hsa-mir-652,2,"GMM,KM"
hsa-mir-654,2,"HC,SC"
hsa-mir-655,2,"HC,SC"
hsa-mir-656,2,"HC,SC"
hsa-mir-658,2,"GMM,KM"
hsa-mir-659,2,"GMM,KM"
hsa-mir-660,2,"GMM,KM"
hsa-mir-661,2,"GMM,KM"
hsa-mir-665,2,"HC,SC"
hsa-mir-668,2,"HC,SC"
hsa-mir-671,2,"GMM,KM"
hsa-mir-6718,2,"GMM,KM"
hsa-mir-6721,2,"GMM,KM"
hsa-mir-6726,2,"GMM,KM"
hsa-mir-6728,2,"GMM,KM"
hsa-mir-6729,2,"GMM,KM"
hsa-mir-6731,2,"GMM,KM"
hsa-mir-6732,2,"GMM,KM"
hsa-mir-6733,2,"GMM,KM"
hsa-mir-6734,2,"GMM,KM"
hsa-mir-6735,2,"GMM,KM"
hsa-mir-6736,2,"GMM,KM"
hsa-mir-6737,2,"GMM,KM"
hsa-mir-6738,2,"GMM,KM"
hsa-mir-6739,2,"GMM,KM"
hsa-mir-6741,2,"GMM,KM"
hsa-mir-6744,2,"GMM,KM"
hsa-mir-6747,2,"GMM,KM"
hsa-mir-6748,2,"GMM,KM"
hsa-mir-6750,2,"GMM,KM"
hsa-mir-6753,2,"GMM,KM"
hsa-mir-6754,2,"GMM,KM"
hsa-mir-6755,2,"GMM,KM"
hsa-mir-6758,2,"GMM,KM"
hsa-mir-676,2,"GMM,KM"
hsa-mir-6761,2,"GMM,KM"
hsa-mir-6764,2,"GMM,KM"
hsa-mir-6769a,2,"GMM,KM"
hsa-mir-6769b,2,"GMM,KM"
hsa-mir-6772,2,"GMM,KM"
hsa-mir-6773,2,"GMM,KM"
hsa-mir-6775,2,"GMM,KM"
hsa-mir-6776,2,"GMM,KM"
hsa-mir-6777,2,"GMM,KM"
hsa-mir-6780b,2,"GMM,KM"
