miRNA,freq,picked_by
hsa-mir-6505,2,"GMM,KM"
hsa-mir-651,2,"GMM,KM"
hsa-mir-6511b-1,2,"GMM,KM"
hsa-mir-6511b-2,2,"GMM,KM"
hsa-mir-6514,2,"GMM,KM"
hsa-mir-6515,2,"GMM,KM"
hsa-mir-6516,2,"GMM,KM"
hsa-mir-652,2,"GMM,KM"
hsa-mir-659,2,"GMM,KM"
hsa-mir-660,2,"GMM,KM"
hsa-mir-662,2,"GMM,KM"
hsa-mir-663b,2,"GMM,KM"
hsa-mir-671,2,"GMM,KM"
hsa-mir-6720,2,"GMM,KM"
hsa-mir-6726,2,"GMM,KM"
hsa-mir-6728,2,"GMM,KM"
hsa-mir-6729,2,"GMM,KM"
hsa-mir-6732,2,"GMM,KM"
hsa-mir-6733,2,"GMM,KM"
hsa-mir-6734,2,"GMM,KM"
hsa-mir-6736,2,"GMM,KM"
hsa-mir-6737,2,"GMM,KM"
hsa-mir-6738,2,"GMM,KM"
hsa-mir-6739,2,"GMM,KM"
hsa-mir-6742,2,"GMM,KM"
hsa-mir-6743,2,"GMM,KM"
hsa-mir-6744,2,"GMM,KM"
hsa-mir-6747,2,"GMM,KM"
hsa-mir-6748,2,"GMM,KM"
hsa-mir-6750,2,"GMM,KM"
hsa-mir-6754,2,"GMM,KM"
hsa-mir-6755,2,"GMM,KM"
hsa-mir-676,2,"GMM,KM"
hsa-mir-6761,2,"GMM,KM"
hsa-mir-6764,2,"GMM,KM"
hsa-mir-6765,2,"GMM,KM"
hsa-mir-6769a,2,"GMM,KM"
hsa-mir-6769b,2,"GMM,KM"
hsa-mir-6771,2,"GMM,KM"
hsa-mir-6772,2,"GMM,KM"
hsa-mir-6773,2,"GMM,KM"
hsa-mir-6774,2,"GMM,KM"
hsa-mir-6775,2,"GMM,KM"
hsa-mir-6776,2,"GMM,KM"
hsa-mir-6777,2,"GMM,KM"
hsa-mir-6778,2,"GMM,KM"
hsa-mir-6779,2,"GMM,KM"
hsa-mir-6780b,2,"GMM,KM"
hsa-mir-6781,2,"GMM,KM"
hsa-mir-6782,2,"GMM,KM"
hsa-mir-6783,2,"GMM,KM"
hsa-mir-6786,2,"GMM,KM"
hsa-mir-6787,2,"GMM,KM"
hsa-mir-6789,2,"GMM,KM"
hsa-mir-6793,2,"GMM,KM"
hsa-mir-6796,2,"GMM,KM"
hsa-mir-6797,2,"GMM,KM"
hsa-mir-6798,2,"GMM,KM"
hsa-mir-6802,2,"GMM,KM"
hsa-mir-6803,2,"GMM,KM"
hsa-mir-6806,2,"GMM,KM"
hsa-mir-6807,2,"GMM,KM"
hsa-mir-6808,2,"GMM,KM"
hsa-mir-6812,2,"GMM,KM"
hsa-mir-6814,2,"GMM,KM"
hsa-mir-6815,2,"GMM,KM"
hsa-mir-6818,2,"GMM,KM"
hsa-mir-6820,2,"GMM,KM"
hsa-mir-6822,2,"GMM,SC"
hsa-mir-6824,2,"GMM,KM"
hsa-mir-6825,2,"GMM,KM"
hsa-mir-6826,2,"GMM,KM"
hsa-mir-6829,2,"GMM,KM"
hsa-mir-6832,2,"GMM,KM"
hsa-mir-6834,2,"GMM,KM"
hsa-mir-6837,2,"GMM,KM"
hsa-mir-6840,2,"GMM,KM"
hsa-mir-6842,2,"GMM,KM"
hsa-mir-6844,2,"GMM,KM"
hsa-mir-6845,2,"GMM,KM"
hsa-mir-6846,2,"GMM,KM"
hsa-mir-6847,2,"GMM,KM"
hsa-mir-6850,2,"GMM,KM"
hsa-mir-6851,2,"GMM,KM"
hsa-mir-6852,2,"GMM,KM"
hsa-mir-6854,2,"GMM,KM"
hsa-mir-6855,2,"GMM,KM"
hsa-mir-6858,2,"GMM,KM"
hsa-mir-6860,2,"GMM,KM"
hsa-mir-6875,2,"GMM,KM"
hsa-mir-6877,2,"GMM,KM"
hsa-mir-6879,2,"GMM,KM"
hsa-mir-6882,2,"GMM,KM"
hsa-mir-6884,2,"GMM,KM"
hsa-mir-6886,2,"GMM,KM"
hsa-mir-6888,2,"GMM,KM"
hsa-mir-6891,2,"GMM,KM"
hsa-mir-6893,2,"GMM,KM"
hsa-mir-6894,2,"GMM,KM"
hsa-mir-6895,2,"GMM,KM"
hsa-mir-7-1,2,"GMM,KM"
hsa-mir-7107,2,"GMM,KM"
hsa-mir-7108,2,"GMM,KM"
hsa-mir-7110,2,"GMM,KM"
hsa-mir-7112,2,"GMM,KM"
hsa-mir-7113,2,"GMM,KM"
hsa-mir-7114,2,"GMM,KM"
hsa-mir-7156,2,"GMM,KM"
hsa-mir-7161,2,"GMM,KM"
hsa-mir-744,2,"GMM,KM"
hsa-mir-760,2,"GMM,KM"
hsa-mir-7641-1,2,"GMM,KM"
hsa-mir-7641-2,2,"GMM,KM"
hsa-mir-765,2,"GMM,KM"
hsa-mir-766,2,"GMM,KM"
hsa-mir-767,2,"GMM,KM"
hsa-mir-769,2,"GMM,KM"
hsa-mir-7702,2,"GMM,KM"
hsa-mir-7705,2,"GMM,KM"
hsa-mir-7706,2,"GMM,KM"
hsa-mir-7854,2,"GMM,KM"
hsa-mir-7974,2,"GMM,KM"
hsa-mir-802,2,"GMM,KM"
hsa-mir-8072,2,"GMM,KM"
hsa-mir-877,2,"GMM,KM"
hsa-mir-885,2,"GMM,KM"
hsa-mir-9-1,2,"GMM,KM"
