miRNA,mean_expression
hsa-mir-4728,4.526825974910395
hsa-mir-4661,4.514997928315412
hsa-mir-509-2,4.512664168458782
hsa-mir-937,4.4971872903225805
hsa-mir-514a-1,4.4623803906810044
hsa-mir-514a-3,4.433748813620072
hsa-mir-519a-1,4.3170919068100355
hsa-mir-616,4.14100364516129
hsa-mir-320b-2,4.124115605734768
hsa-mir-3614,4.108736268817204
hsa-mir-153-1,4.044742293906809
hsa-mir-885,4.020129146953405
hsa-mir-299,3.994880802867383
hsa-mir-5586,3.9191622724014334
hsa-mir-3605,3.9124780322580643
hsa-mir-95,3.869261896057347
hsa-mir-3615,3.8156732903225805
hsa-mir-1271,3.808866207885304
hsa-mir-377,3.7514758100358416
hsa-mir-935,3.6978781254480286
hsa-mir-188,3.5388428458781362
hsa-mir-202,3.439527666666667
hsa-mir-34b,3.438722921146953
hsa-mir-1245a,3.283534430107527
hsa-mir-760,3.196286322580645
hsa-mir-421,3.175155727598566
hsa-mir-129-2,3.1211105555555556
hsa-mir-135a-2,3.0498761433691755
hsa-mir-651,3.043330476702509
hsa-mir-1270,2.948686974910394
hsa-mir-6892,2.922084831541218
hsa-mir-3150b,2.815482437275986
hsa-mir-4746,2.8128287849462366
hsa-mir-655,2.8074998888888887
hsa-mir-496,2.7577178207885304
hsa-mir-129-1,2.6999386774193552
hsa-mir-135a-1,2.5598192974910394
hsa-mir-320b-1,2.555120014336918
hsa-mir-219a-1,2.548645537634409
hsa-mir-550a-2,2.5234913440860214
hsa-mir-3170,2.51842223655914
hsa-mir-2110,2.4644677383512543
hsa-mir-2115,2.4313598996415773
hsa-mir-1251,2.429883218637993
hsa-mir-550a-1,2.4155842007168458
hsa-mir-1249,2.3703515268817203
hsa-mir-944,2.3527508709677423
hsa-mir-3130-1,2.330829358422939
hsa-mir-3928,2.324120326164874
hsa-mir-877,2.308281985663082
hsa-mir-3130-2,2.254033551971326
hsa-mir-1248,2.2492094444444444
hsa-mir-5000,2.2407379677419352
hsa-mir-7706,2.198493146953405
hsa-mir-151b,2.1911274444444446
hsa-mir-891a,2.0985778853046595
hsa-mir-551b,2.073340845878136
hsa-mir-494,2.0173398924731183
hsa-mir-504,1.9482331756272402
hsa-mir-301b,1.9373269032258067
hsa-mir-4724,1.8751731254480284
hsa-mir-3913-1,1.8730436845878133
hsa-mir-3934,1.8448427168458783
hsa-mir-3913-2,1.843292634408602
hsa-mir-1258,1.7770048458781362
hsa-mir-6511b-1,1.733192211469534
hsa-mir-7702,1.691993211469534
hsa-mir-6511b-2,1.6821014408602148
hsa-mir-516a-1,1.6771560573476703
hsa-mir-548v,1.6754410752688174
hsa-mir-7156,1.6736261433691755
hsa-mir-487a,1.6579754623655913
hsa-mir-1226,1.6489229964157706
hsa-mir-659,1.6210731505376343
hsa-mir-376b,1.618276781362007
hsa-mir-376a-1,1.6127587741935483
hsa-mir-516a-2,1.6014667598566308
hsa-mir-548b,1.593115935483871
hsa-mir-4638,1.5874179462365594
hsa-mir-3156-1,1.5769209677419356
