miRNA,mean_expression
hsa-mir-488,0.2948318742724098
hsa-mir-3194,0.2894343434225844
hsa-mir-4675,0.2889995029103609
hsa-mir-658,0.2873265355064028
hsa-mir-4762,0.28474573341094295
hsa-mir-3161,0.28366293015133875
hsa-mir-4649,0.28017135972060536
hsa-mir-607,0.2789287392316647
hsa-mir-1537,0.27784570779976714
hsa-mir-5091,0.2769154423748545
hsa-mir-3174,0.2763335948777648
hsa-mir-378d-2,0.2692409417927823
hsa-mir-6507,0.26922841443539
hsa-mir-5696,0.2687867217694994
hsa-mir-4756,0.26752668684516884
hsa-mir-4777,0.2667751839348079
hsa-mir-5680,0.26508649359720604
hsa-mir-6803,0.2640914621653085
hsa-mir-5690,0.2635616542491269
hsa-mir-6788,0.2601480174621653
hsa-mir-3176,0.25829702793946446
hsa-mir-6737,0.2568044668218859
hsa-mir-520g,0.2544432118742724
hsa-mir-765,0.25221933760186266
hsa-mir-6860,0.25219938300349243
hsa-mir-548k,0.24990373108265423
hsa-mir-7974,0.2490907019790454
hsa-mir-6868,0.24867985681024446
hsa-mir-4788,0.2473532724097788
hsa-mir-5687,0.24449809895227007
hsa-mir-320e,0.2444731816065192
hsa-mir-4797,0.24400471827706635
hsa-mir-561,0.24288292200232828
hsa-mir-1538,0.24039306053550638
hsa-mir-6793,0.2398598358556461
hsa-mir-1179,0.23910579976717114
hsa-mir-4745,0.23880786961583234
hsa-mir-4676,0.23788385215366706
hsa-mir-3691,0.2369896949941793
hsa-mir-6781,0.2359143527357392
hsa-mir-3655,0.2342346379511059
hsa-mir-3188,0.2341233632130384
hsa-mir-3942,0.22918792665890572
hsa-mir-3622a,0.22461861932479626
hsa-mir-6852,0.22206100814901047
hsa-mir-4738,0.22151526076833528
hsa-mir-4454,0.22144272759022118
hsa-mir-1181,0.2169176426076834
hsa-mir-3680-1,0.2167367753201397
hsa-mir-527,0.21616875436554134
hsa-mir-6125,0.21383219324796274
hsa-mir-3158-1,0.21353381024447032
hsa-mir-5571,0.21258292782305002
hsa-mir-4484,0.2119273760186263
hsa-mir-5708,0.21173890686845168
hsa-mir-1294,0.2078045157159488
hsa-mir-3944,0.20778924214202563
hsa-mir-5703,0.20728373923166474
hsa-mir-4658,0.20672113154831195
hsa-mir-4683,0.20589799883585563
hsa-mir-3620,0.2052077217694994
hsa-mir-4802,0.201044470314319
hsa-mir-346,0.20047654132712456
hsa-mir-2276,0.20014523166472645
hsa-mir-6734,0.19889286845168802
hsa-mir-3684,0.19850384633294532
hsa-mir-4685,0.19830008032596042
hsa-mir-4522,0.1972490512223516
hsa-mir-1293,0.19721540395809078
hsa-mir-1276,0.19692029452852153
hsa-mir-4470,0.19647988242142028
hsa-mir-548d-1,0.19480106752037252
hsa-mir-378d-1,0.19456725029103608
hsa-mir-4674,0.19394518859138532
hsa-mir-6844,0.19325871478463327
hsa-mir-3654,0.19091877764842838
hsa-mir-548t,0.1908213259604191
hsa-mir-513c,0.18887137369033757
hsa-mir-518a-2,0.18558697904540164
hsa-mir-5089,0.18454403143189757
hsa-mir-6818,0.18442993597206056
hsa-mir-6508,0.1833893492433062
hsa-mir-1283-2,0.18301893247962744
hsa-mir-3150a,0.18080231431897556
hsa-mir-4800,0.1786148626309662
hsa-mir-4741,0.17833340395809083
hsa-mir-4424,0.17654402677532013
hsa-mir-6728,0.17610360884749712
hsa-mir-6891,0.17346808847497092
hsa-mir-5193,0.17345739231664725
hsa-mir-520f,0.1723161688009313
hsa-mir-490,0.1723064516880093
hsa-mir-3667,0.17208177299185098
hsa-mir-548d-2,0.1695226565774156
hsa-mir-3193,0.16891823981373688
hsa-mir-4523,0.16753858789289877
hsa-mir-1250,0.1669434109429569
hsa-mir-4780,0.1668863131548312
hsa-mir-520h,0.1660642200232829
hsa-mir-6833,0.16579044819557626
hsa-mir-1911,0.16571549941792782
hsa-mir-641,0.16514245634458674
hsa-mir-7110,0.16493557741559955
hsa-mir-3178,0.16472284749708965
hsa-mir-6730,0.16359538183934805
hsa-mir-6747,0.16182206169965077
hsa-mir-6843,0.16105392782305006
hsa-mir-519d,0.16080916880093132
hsa-mir-3919,0.1596529545983702
hsa-mir-6807,0.15933190104772993
hsa-mir-873,0.1588145960419092
hsa-mir-6879,0.15832583934807914
hsa-mir-519c,0.15781830733410943
hsa-mir-5092,0.15763904423748548
hsa-mir-6797,0.15723006053550642
hsa-mir-4725,0.15703799883585565
hsa-mir-6895,0.156923717112922
hsa-mir-6744,0.15687942724097786
hsa-mir-6764,0.1553857240977881
hsa-mir-1305,0.15409740745052386
hsa-mir-8072,0.15376619790454019
hsa-mir-6726,0.15330961816065194
hsa-mir-4524a,0.15292761466821886
hsa-mir-612,0.15284907916181606
hsa-mir-4286,0.1515118335273574
hsa-mir-4453,0.1513046623981374
hsa-mir-6894,0.14866176949941792
hsa-mir-1914,0.1483999417927823
hsa-mir-5090,0.14785187660069848
hsa-mir-548ag-2,0.14718877182770665
hsa-mir-3158-2,0.14690345285215367
hsa-mir-219a-2,0.1461461082654249
hsa-mir-4434,0.1454541268917346
hsa-mir-23c,0.1445525157159488
hsa-mir-548q,0.14448537485448196
hsa-mir-3140,0.14305476135040746
hsa-mir-4753,0.14221187194412108
hsa-mir-6882,0.1417532153667055
hsa-mir-6513,0.1404660302677532
hsa-mir-549a,0.14011998020954597
hsa-mir-5008,0.13905995809080327
hsa-mir-516b-1,0.1389626065192084
hsa-mir-7155,0.13891558556461003
hsa-mir-3920,0.13889333760186262
hsa-mir-4632,0.1385723434225844
hsa-mir-4687,0.13790887194412108
hsa-mir-520e,0.13681644353899883
hsa-mir-5002,0.1357469499417928
hsa-mir-3911,0.13565697788125727
hsa-mir-4536-2,0.13356230966239815
hsa-mir-548y,0.13343861233993012
hsa-mir-6748,0.13341916298020953
hsa-mir-1185-2,0.13259338533178114
hsa-mir-4790,0.12930021303841677
hsa-mir-6762,0.12879359254947614
hsa-mir-520d,0.12846345168800932
hsa-mir-6773,0.12709032246798602
hsa-mir-518a-1,0.12609108498253782
hsa-mir-5681b,0.12456749592549476
hsa-mir-4525,0.123689509895227
hsa-mir-802,0.12276160768335274
hsa-mir-4536-1,0.12225198370197905
hsa-mir-6741,0.12156975203725262
hsa-mir-5579,0.1215283003492433
hsa-mir-7641-1,0.12131752037252619
hsa-mir-4492,0.12063611059371362
hsa-mir-1283-1,0.12036773108265425
