miRNA,mean_expression
hsa-mir-3653,11.884276227064221
hsa-mir-370,11.617143293577982
hsa-mir-326,11.228848483944954
hsa-mir-4677,11.014387504587157
hsa-mir-369,10.868382552752296
hsa-mir-483,10.716104786697246
hsa-mir-1306,10.479851633027524
hsa-mir-6510,10.219955633027523
hsa-mir-887,10.141202720183486
hsa-mir-934,10.118830089449542
hsa-mir-3127,10.085840275229357
hsa-mir-410,10.005824447247706
hsa-mir-511,9.952120522935779
hsa-mir-767,9.901744545871559
hsa-mir-1976,9.306830314220182
hsa-mir-671,9.212972451834862
hsa-mir-33b,9.10785919266055
hsa-mir-766,9.098057016055046
hsa-mir-495,8.87153873623853
hsa-mir-1269b,8.769751958715595
hsa-mir-502,8.747136082568806
hsa-mir-1468,8.334503250000001
hsa-mir-4326,8.223641043577981
hsa-mir-432,8.215712986238533
hsa-mir-31,8.065101252293578
hsa-mir-449a,7.881032857798166
hsa-mir-154,7.874371428899082
hsa-mir-1296,7.150788376146789
hsa-mir-412,7.04255421559633
hsa-mir-411,6.903729479357798
hsa-mir-215,6.7149189151376145
hsa-mir-942,6.386277883027524
hsa-mir-323b,6.2651481490825685
hsa-mir-940,6.0793824724770635
hsa-mir-296,6.044978997706423
hsa-mir-487b,5.593648506880734
hsa-mir-376c,5.518006199541285
hsa-mir-4668,5.4764277018348615
hsa-mir-378c,5.3988101353211
hsa-mir-450a-2,5.383452653669725
hsa-mir-485,5.375402302752294
hsa-mir-450a-1,5.358981006880734
hsa-mir-3200,5.3555713233944955
hsa-mir-664b,5.240538637614678
hsa-mir-204,5.178565683486238
hsa-mir-642a,5.079036133027523
hsa-mir-4772,5.067736018348623
hsa-mir-500b,5.049512286697248
hsa-mir-190a,4.839807481651376
hsa-mir-519a-1,4.807747137614678
hsa-mir-937,4.768786786697248
hsa-mir-592,4.700974979357798
hsa-mir-323a,4.678552646788991
hsa-mir-4728,4.640665722477064
hsa-mir-491,4.561570493119266
hsa-mir-212,4.4826710848623845
hsa-mir-4661,4.43289335321101
hsa-mir-3614,4.408213928899083
hsa-mir-509-3,4.212875837155964
hsa-mir-616,4.037551000000001
hsa-mir-3605,3.9420724082568808
hsa-mir-320b-2,3.933617559633028
hsa-mir-3615,3.8882395229357796
hsa-mir-5586,3.842124529816514
hsa-mir-299,3.8380239151376148
hsa-mir-95,3.6953648990825685
hsa-mir-1271,3.6872177041284404
hsa-mir-377,3.6588579472477067
hsa-mir-188,3.4963303967889914
hsa-mir-34b,3.461305041284404
hsa-mir-1245a,3.426672240825688
hsa-mir-760,3.4057843784403667
hsa-mir-526b,3.366215160550459
hsa-mir-935,3.364476837155963
hsa-mir-514a-2,3.34878894266055
hsa-mir-509-2,3.3358180940366977
hsa-mir-509-1,3.332186350917431
hsa-mir-153-1,3.326609896788991
hsa-mir-514a-1,3.2876478027522933
hsa-mir-514a-3,3.235902009174313
hsa-mir-421,3.07386677293578
hsa-mir-3150b,3.0330376674311927
hsa-mir-651,3.0172017775229363
hsa-mir-6892,3.014164403669725
hsa-mir-4746,2.889211912844037
hsa-mir-655,2.766512451834862
hsa-mir-1270,2.7208983509174316
hsa-mir-885,2.7191695068807338
hsa-mir-496,2.7155315045871564
hsa-mir-1248,2.7105264701834866
hsa-mir-550a-2,2.6148479357798164
hsa-mir-129-2,2.5845287454128445
