Stage,Family,k,Consensus,Classifier,n_feats,missing,Accuracy,Sensitivity,Specificity,AUC,SourceFile,Status
Stage II,Traditional,top10,intersection,RF,0,,,,,,stagewise_consensus\Consensus_Traditional_top10_Stage_II_intersection.csv,empty_list
Stage II,Traditional,top10,majority,RF,6,0.0,0.628,0.86,0.112,0.431,stagewise_consensus\Consensus_Traditional_top10_Stage_II_majority.csv,ok
Stage II,Traditional,top15,intersection,RF,0,,,,,,stagewise_consensus\Consensus_Traditional_top15_Stage_II_intersection.csv,empty_list
Stage II,Traditional,top15,majority,RF,9,0.0,0.628,0.854,0.125,0.458,stagewise_consensus\Consensus_Traditional_top15_Stage_II_majority.csv,ok
Stage II,Traditional,top5,intersection,RF,0,,,,,,stagewise_consensus\Consensus_Traditional_top5_Stage_II_intersection.csv,empty_list
Stage II,Traditional,top5,majority,RF,3,0.0,0.632,0.876,0.088,0.416,stagewise_consensus\Consensus_Traditional_top5_Stage_II_majority.csv,ok
Stage II,Clustering,,intersection,SVM-linear,0,,,,,,stagewise_consensus\Consensus_Clustering_Stage_II_intersection.csv,empty_list
Stage II,Clustering,,majority,SVM-linear,98,0.0,0.558,0.584,0.5,0.464,stagewise_consensus\Consensus_Clustering_Stage_II_majority.csv,ok
Stage II,DeepLearning,top10,intersection,SVM-linear,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top10_Stage_II_intersection.csv,empty_list
Stage II,DeepLearning,top10,majority,SVM-linear,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top10_Stage_II_majority.csv,empty_list
Stage II,DeepLearning,top15,intersection,SVM-linear,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top15_Stage_II_intersection.csv,empty_list
Stage II,DeepLearning,top15,majority,SVM-linear,1,0.0,0.667,0.955,0.025,0.484,stagewise_consensus\Consensus_DeepLearning_top15_Stage_II_majority.csv,ok
Stage II,DeepLearning,top5,intersection,SVM-linear,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top5_Stage_II_intersection.csv,empty_list
Stage II,DeepLearning,top5,majority,SVM-linear,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top5_Stage_II_majority.csv,empty_list
Stage II,Traditional,top10,intersection,SVM-linear,0,,,,,,stagewise_consensus\Consensus_Traditional_top10_Stage_II_intersection.csv,empty_list
Stage II,Traditional,top10,majority,SVM-linear,6,0.0,0.593,0.764,0.212,0.517,stagewise_consensus\Consensus_Traditional_top10_Stage_II_majority.csv,ok
Stage II,Traditional,top15,intersection,SVM-linear,0,,,,,,stagewise_consensus\Consensus_Traditional_top15_Stage_II_intersection.csv,empty_list
Stage II,Traditional,top15,majority,SVM-linear,9,0.0,0.609,0.787,0.212,0.51,stagewise_consensus\Consensus_Traditional_top15_Stage_II_majority.csv,ok
Stage II,Traditional,top5,intersection,SVM-linear,0,,,,,,stagewise_consensus\Consensus_Traditional_top5_Stage_II_intersection.csv,empty_list
Stage II,Traditional,top5,majority,SVM-linear,3,0.0,0.64,0.86,0.15,0.531,stagewise_consensus\Consensus_Traditional_top5_Stage_II_majority.csv,ok
Stage III,Clustering,,intersection,KNN,0,,,,,,stagewise_consensus\Consensus_Clustering_Stage_III_intersection.csv,empty_list
Stage III,Clustering,,majority,KNN,600,0.0,0.602,0.458,0.688,0.576,stagewise_consensus\Consensus_Clustering_Stage_III_majority.csv,ok
Stage III,DeepLearning,top10,intersection,KNN,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top10_Stage_III_intersection.csv,empty_list
Stage III,DeepLearning,top10,majority,KNN,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top10_Stage_III_majority.csv,empty_list
